"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"ICA"," 001","NGA","A","30","27","C4034","08:55:00","11:35:00","N","N","N","Y","N","Abdellatif,Mohamed","P","NH"
"ICA"," 001","NGB","A","35","35","A3512","13:30:00","16:10:00","N","Y","N","N","N","Abdellatif,Mohamed","P","NH"
"IPS"," 255","NRE","A","35","9","ONLINE","10:45:00","13:25:00","N","Y","N","N","N","Abdollahzadeh,Nazanin","H","NH"
"IPS"," 255","NRG","A","35","27","A3518","13:30:00","16:10:00","N","N","N","N","Y","Abdollahzadeh,Nazanin","H","NH"
"IPS"," 255","NRI","A","35","21","ONLINE","10:45:00","13:25:00","N","N","Y","N","N","Abdollahzadeh,Nazanin","H","NH"
"LSP"," 240","NRA","A","35","16","A3050","10:45:00","13:25:00","N","N","N","N","Y","Abergel,Sigal","FL","NH"
"LSP"," 240","NRB","A","35","16","A2506","13:30:00","16:10:00","N","N","N","N","Y","Abergel,Sigal","FL","NH"
"LSP"," 240","NRC","A","35","25","B3041","13:30:00","16:10:00","Y","N","N","N","N","Abergel,Sigal","FL","NH"
"LSP"," 340","NRA","A","35","12","A3065","10:45:00","13:25:00","Y","N","N","N","N","Abergel,Sigal","FL","NH"
"BAB"," 235","NXX","A","35","16","A4503","14:25:00","17:05:00","N","N","N","Y","N","Adam,Humza","FL","NH"
"MRK"," 264","NBM","A","35","9","A3518","15:20:00","18:00:00","N","N","Y","N","N","Adam,Humza","H","NH"
"MRK"," 264","NBT","A","35","10","A4526","14:25:00","17:05:00","N","Y","N","N","N","Adam,Humza","H","NH"
"MRK"," 455","NBM","A","45","8","D3052","11:40:00","14:20:00","N","N","Y","N","N","Adam,Humza","FL","NH"
"CTE"," 442","NAA","A","20","12","A3050","15:20:00","17:05:00","Y","N","N","N","N","Adamsz,Robert","FL","NH"
"CTE"," 442","NAA","A","20","12","K3000","15:20:00","17:05:00","N","N","Y","N","N","Adamsz,Robert","FL","NH"
"PME"," 201","NAA","A","16","14","B2078","15:20:00","18:00:00","N","Y","N","N","N","Adamsz,Robert","FL","NH"
"BAN"," 230","NAA","A","30","22","C2032","09:50:00","11:35:00","N","N","N","Y","N","Adesanmi,Adenike","H","NH"
"FNT"," 204","NJJ","A","35","35","B1020","13:30:00","16:10:00","N","N","Y","N","N","Adesanmi,Adenike","FL","NH"
"CLD"," 500","NAB","A","58","14","K3240","17:10:00","18:55:00","Y","N","N","N","N","Adunuthala,Laxmikantha Rao","P","NH"
"SDG"," 101","NAA","A","35","13","D3052","09:50:00","12:30:00","Y","N","N","N","N","Afzal,Hamza","FL","NH"
"SDG"," 101","NWW","A","35","14","D1010","15:20:00","18:00:00","N","N","Y","N","N","Afzal,Hamza","FL","NH"
"SDG"," 101","NZA","A","20","4","K3100","09:50:00","12:30:00","N","N","Y","N","N","Afzal,Hamza","FL","NH"
"MKM"," 706","NDN","A","35","14","D3052","11:40:00","15:15:00","N","Y","N","N","N","Ahluwalia,Raunica","FL","NH"
"MRK"," 460","NBM","A","40","9","B3088","12:35:00","16:10:00","N","N","N","Y","N","Ahluwalia,Raunica","FL","NH"
"CDA"," 543","NAA","A","22","18","A4080","16:15:00","18:00:00","N","N","Y","N","Y","Ahossivo,Issa Kader","FL","NH"
"IND"," 800","NAA","A","20","11","ONLINE","10:45:00","13:25:00","N","N","Y","N","N","Ainsworth,Michael William","OS","NH"
"SOC"," 122","NLB","A","35","15","ONLINE","12:35:00","15:15:00","N","N","N","Y","N","Ainsworth,Michael William","OS","NH"
"BCD"," 706","NAA","A","35","20","D3053","12:35:00","15:15:00","N","N","Y","N","N","AJODHIA,AMANDA Devi","H","NH"
"BCD"," 706","NAA","A","35","20","D3053","12:35:00","15:15:00","N","N","Y","N","N","AJODHIA,AMANDA Devi","H","NH"
"BCD"," 706","NAA","A","35","20","ONLINE","12:35:00","15:15:00","N","N","Y","N","N","AJODHIA,AMANDA Devi","H","NH"
"BCD"," 706","NAA","A","35","20","ONLINE","12:35:00","15:15:00","N","N","Y","N","N","AJODHIA,AMANDA Devi","H","NH"
"BCD"," 706","NAA","A","35","20","ONLINE","12:35:00","15:15:00","N","N","Y","N","N","AJODHIA,AMANDA Devi","H","NH"
"BCD"," 706","NAA","A","35","20","D3053","12:35:00","15:15:00","N","N","Y","N","N","AJODHIA,AMANDA Devi","H","NH"
"CAA"," 900","NCE","A","31","14","A1508","09:50:00","13:25:00","N","N","N","N","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","31","15","A1509A","17:10:00","18:55:00","Y","N","N","N","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","31","15","A4515","17:10:00","18:55:00","N","N","N","Y","N","Akbari,Mehdi","P","NH"
"SEC"," 715","NCE","A","31","14","A1508","17:10:00","18:55:00","N","N","Y","N","N","Akbari,Mehdi","H","NH"
"SEC"," 715","NCE","A","31","14","ONLINE","08:00:00","09:45:00","N","Y","N","N","N","Akbari,Mehdi","H","NH"
"CYT"," 260","NBB","A","36","11","ONLINE","11:40:00","13:25:00","N","Y","N","N","N","Akkus,Tayfun","OB","NH"
"PMC"," 115","NIA","A","36","9","A4513","15:20:00","17:05:00","N","Y","N","N","N","Akkus,Tayfun","P","NH"
"PMC"," 115","NIA","A","36","9","C3034","15:20:00","17:05:00","N","N","N","Y","N","Akkus,Tayfun","P","NH"
"PMC"," 800","NCE","A","20","7","C4034","19:55:00","21:40:00","N","N","Y","N","N","Akkus,Tayfun","H","NH"
"PMC"," 800","NCE","A","20","7","C4034","19:55:00","21:40:00","N","N","N","Y","N","Akkus,Tayfun","H","NH"
"PMC"," 800","NCE","A","20","7","ONLINE","19:55:00","21:40:00","Y","N","N","N","N","Akkus,Tayfun","H","NH"
"CSN"," 205","NBB","A","36","23","ONLINE","08:00:00","09:45:00","N","Y","N","N","N","Al Quraishi,Rami","H","NH"
"CSN"," 205","NBB","A","36","23","K1001","08:00:00","11:35:00","N","N","N","N","Y","Al Quraishi,Rami","H","NH"
"CPO"," 520","NAA","A","36","21","A3518","12:35:00","14:20:00","N","N","Y","N","N","Al-Ansari,Kifah","H","NH"
"CPO"," 520","NAA","A","36","21","ONLINE","11:40:00","13:25:00","Y","N","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NAA","A","36","36","K1270","10:45:00","12:30:00","N","N","Y","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NAA","A","36","36","ONLINE","13:30:00","15:15:00","N","N","N","Y","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NCC","A","36","36","ONLINE","17:10:00","18:55:00","N","N","N","Y","N","Al-Ansari,Kifah","H","NH"
